cliente_id,nome,cpf,segmento,cidade,cadastro_em
C0201,Cliente Novo 201 Ação,52380247463,varejo,São Paulo,2026-06-01
C0202,Cliente Novo 202 Ação,82076210873,varejo,São Paulo,2026-06-01
C0203,Cliente Novo 203 Ação,49825214414,varejo,São Paulo,2026-06-01
C0204,Cliente Novo 204 Ação,24198974047,varejo,São Paulo,2026-06-01
C0205,Cliente Novo 205 Ação,70082339732,varejo,São Paulo,2026-06-01
C0206,Cliente Novo 206 Ação,14415761690,varejo,São Paulo,2026-06-01
C0207,Cliente Novo 207 Ação,72329307390,varejo,São Paulo,2026-06-01
C0208,Cliente Novo 208 Ação,29259945712,varejo,São Paulo,2026-06-01
C0209,Cliente Novo 209 Ação,37948603654,varejo,São Paulo,2026-06-01
C0210,Cliente Novo 210 Ação,28239276032,varejo,São Paulo,2026-06-01
