cliente_id,nome,cpf,segmento,cidade,cadastro_em
C0001,Cliente 1,78657930307,varejo,São Paulo,2024-10-08
C0002,Cliente 2,36295062830,varejo,Curitiba,2024-04-14
C0003,Cliente 3,82660053979,private,São Paulo,2025-08-27
C0004,Cliente 4,55303511073,varejo,São Paulo,2024-04-05
C0005,Cliente 5,33476073840,varejo,São Paulo,2025-07-28
C0006,Cliente 6,31350029858,private,Belo Horizonte,2024-08-13
C0007,Marina Duarte,58233453803,private,Recife,2024-01-07
C0008,Cliente 8,91476320209,varejo,Belo Horizonte,2024-12-14
C0009,Cliente 9,39836208259,varejo,Curitiba,2024-12-10
C0010,Cliente 10,20974745197,varejo,Belo Horizonte,2024-04-09
C0011,Cliente 11,48545117108,black,Recife,2024-02-14
C0012,Cliente 12,88354354040,black,São Paulo,2025-01-22
C0013,Cliente 13,18461106610,private,Recife,2025-10-05
C0014,Cliente 14,76413052619,black,Curitiba,2024-03-12
C0015,Cliente 15,14920355807,private,Curitiba,2024-10-23
C0016,Cliente 16,18567598060,varejo,São Paulo,2025-01-24
C0017,Cliente 17,39847188610,black,Recife,2024-06-15
C0018,Cliente 18,49747878615,black,Curitiba,2025-11-17
C0019,Cliente 19,38666524960,private,São Paulo,2025-09-15
C0020,Cliente 20,78180274403,varejo,Curitiba,2024-06-16
C0021,Cliente 21,11111111111,black,Recife,2025-10-17
C0022,Cliente 22,11111111111,private,Curitiba,2024-11-28
C0023,Cliente 23,92497041946,varejo,Curitiba,2024-02-02
C0024,Cliente 24,96441134705,black,Belo Horizonte,2024-10-01
C0025,Cliente 25,17106947261,varejo,Recife,2024-08-05
C0026,Cliente 26,80377190900,black,Belo Horizonte,2025-10-20
C0027,Cliente 27,59268842688,varejo,Recife,2024-05-22
C0028,Cliente 28,36481427045,private,Recife,2025-08-21
C0029,Cliente 29,56002731342,private,Belo Horizonte,2025-01-05
C0030,Cliente 30,33549387067,varejo,Belo Horizonte,2024-04-03
C0031,Cliente 31,91151491454,varejo,São Paulo,2024-06-05
C0032,Cliente 32,77371505794,varejo,Belo Horizonte,2025-09-02
C0033,Cliente 33,16821235619,black,Belo Horizonte,2025-09-02
C0034,Cliente 34,60256473641,private,Recife,2025-07-20
C0035,Cliente 35,11232765287,private,São Paulo,2025-11-29
C0036,Cliente 36,67656750193,black,Recife,2024-04-24
C0037,Cliente 37,41514336278,black,Curitiba,2025-04-09
C0038,Cliente 38,10348463022,private,Recife,2025-05-27
C0039,Cliente 39,91815068302,varejo,São Paulo,2025-10-02
C0040,Cliente 40,42045265005,private,Curitiba,2024-06-05
C0041,Cliente 41,50148693946,vip,São Paulo,2025-09-05
C0042,Cliente 42,44805991852,black,São Paulo,2024-04-24
C0043,Cliente 43,48974762919,black,Curitiba,2024-02-29
C0044,Cliente 44,35863389885,private,São Paulo,2024-03-28
C0045,Cliente 45,88587979574,black,São Paulo,2025-06-29
C0046,Cliente 46,92230846108,varejo,Curitiba,2025-11-06
C0047,Cliente 47,61033056758,private,Curitiba,2024-09-28
C0048,Cliente 48,66658540861,private,Belo Horizonte,2024-08-04
C0049,Cliente 49,67906476603,private,Curitiba,2024-11-15
C0050,Cliente 50,52841471896,private,Recife,2025-03-24
C0051,Cliente 51,65574282925,black,São Paulo,2024-09-10
C0052,Cliente 52,34126693181,varejo,Recife,2024-01-22
C0053,Cliente 53,73169167294,private,Curitiba,2025-08-25
